session_id,session_name,session_type,session_date
f413cca2-4f3d-5037-adb2-2c66d385a760,September Field Day,Field Day,9/3
489e77d4-f469-5a69-b5e2-4266ed8c8ac1,September HighView Orientation,Orientation,9/17
6e5ea788-ca48-5084-87e2-05b2270b67d8,October PD: Communication,PD,10/22
06316b2f-e07f-5229-a6cb-f4a570ee4233,November Career Summit: Innovation,Career Summit,11/19
54329830-a177-562c-80fc-3879bed9dfaa,January PD: Executive Presence & EQ,PD,1/21
bcec7358-7563-55d5-9cac-3b0366a371d0,March Career Summit Leadership,Career Summit,3/18
43c20e5b-5bf2-5096-b183-77f5d3d599e1,October Team Building Mentor Session,Mentor Session,10/1
295dff96-fe7b-5594-a557-cfe3e05a1025,November Mentor Session,Mentor Session,11/5
346fee5e-a1fe-5bff-a1d0-d4ca20ad3a57,December Mentor Session,Mentor Session,12/3
82449b75-2ec9-5c9c-b98f-5873396fa900,January Mentor Session,Mentor Session,1/7
cad9985f-a639-535b-bba4-8e36f52a1d3f,February Mentor Session,Mentor Session,2/4
4796358f-bc27-5feb-a49c-ca6428bfffcc,March Mentor Session,Mentor Session,3/4
49434040-4b5c-5765-88c5-f8cb246fc876,April Mentor Session,Mentor Session,4/8
